Season,League,Subleague,Player,Age,Team,Position,Height,Weight,Hometown,College,Salary,Latitude,Longitude
2010,MLB,AL,Josh Hamilton,29,TEX,OF,6.4,240,"Raleigh, NC",High School Only,3250000,35.77959,-78.638179
2009,MLB,AL,Joe Mauer,26,MIN,C,6.5,225,"St. Paul, MN",High School Only,10675000,44.953703,-93.089958
2008,MLB,AL,Dustin Pedroia,24,BOS,2B,5.9,175,"Woodland, CA",Arizona State University,457000,38.678516,-121.773297
2007,MLB,AL,Alex Rodriguez,31,NYY,3B,6.3,230,"New York, NY",High School Only,22708525,40.712784,-73.905941
2006,MLB,AL,Justin Morneau,25,MIN,1B,6.4,220,"New Westminster, BC",High School Only,4500000,49.205718,-122.910956
2005,MLB,AL,Alex Rodriguez,29,NYY,3B,6.3,230,"New York, NY",High School Only,26000000,40.712784,-73.905941
2004,MLB,AL,Vladimir Guerrero,29,ANA,OF,6.3,235,"Nizao, DR",High School Only,11000000,18.244409,-70.197673
2003,MLB,AL,Alex Rodriguez,27,TEX,SS,6.3,230,"New York, NY",High School Only,22000000,40.712784,-73.905941
2002,MLB,AL,Miguel Tejada,28,OAK,SS,5.9,220,"Bani, DR",High School Only,3625000,18.38548,-70.730117
2001,MLB,AL,Ichiro Suzuki,27,SEA,OF,5.11,175,"Kasugai, Japan",High School Only,5666667,35.2779861,136.941133
2000,MLB,AL,Jason Giambi,29,OAK,1B,6.3,240,"West Covina, CA",UC at Long Beach,3103333,34.068621,-117.938953
